playerId,In,Ex
478,73,3
479,49,4
481,49,5
482,73,10
483,73,2
484,73,9
485,73,9
486,73,9
487,77,1
488,78,1
489,77,1
490,78,1
491,73,9
492,76,1
493,54,1
494,49,4
495,76,1
496,73,7
497,54,1
498,49,5
499,30,1
500,30,1
501,31,1
502,31,1
503,31,2
504,31,2
505,31,1
506,31,2
507,31,1
508,31,1
509,31,1
510,30,1
511,31,1
512,31,1
513,31,1
514,31,1
515,31,1
516,31,1
517,31,1
518,31,1
519,31,1
520,31,1
521,31,1
522,31,1
523,78,1
524,78,1
525,78,1
526,78,1
527,77,1
528,78,1
529,77,3
530,77,1
531,77,1
532,77,1
533,77,1
534,77,9
535,73,2
536,76,1
537,78,1
538,78,1
539,78,1
540,78,1
541,77,2
542,77,1
543,77,1
544,77,4
545,77,3
546,77,3
547,77,1
548,77,2
549,77,1
550,77,1
551,77,2
552,77,3
553,77,4
554,77,4
555,77,4
556,77,6
557,77,1
558,77,4
559,77,1
560,77,7
561,77,1
562,77,1
563,78,1
564,78,1
565,77,5
567,78,1
568,78,1
569,78,1
570,77,1
571,77,1
572,78,1
573,77,1
574,78,1
575,78,1
576,78,1
577,78,1
578,78,1
579,78,1
580,77,1
581,78,1
582,77,1
583,78,1
584,77,1
585,78,1
586,77,1
587,78,2
588,77,1
589,78,2
590,77,1
591,77,1
592,78,1
593,77,1
594,77,1
595,77,1
596,77,1
597,77,1
598,78,1
599,77,1
600,78,1
601,77,1
602,78,1
603,77,1
604,77,1
605,77,1
606,77,1
607,77,1
608,77,1
609,77,1
610,77,1
611,78,1
612,78,1
613,77,1
614,77,1
615,77,1
616,78,1
617,77,2
618,78,1
619,78,1
620,78,1
621,77,1
622,78,1
623,78,1
624,78,1
625,77,1
626,77,1
627,78,1
628,77,1
629,78,1
630,78,1
631,77,1
632,78,1
633,78,1
634,77,1
635,77,1
636,77,1
637,77,1
638,77,5
641,78,1
642,77,6
643,78,1
644,78,1
645,77,1
646,77,1
647,77,1
648,77,1
649,78,1
650,78,1
651,77,6
652,78,1
653,78,1
654,77,1
655,78,1
656,78,1
657,77,6
658,78,2
659,77,1
660,77,1
661,78,1
662,77,1
663,78,1
664,78,1
665,77,1
666,78,1
667,78,1
668,77,2
669,78,1
670,78,1
671,78,1
672,78,1
673,78,1
674,77,1
675,78,1
676,78,1
677,77,6
678,78,1
679,78,1
680,78,1
681,78,1
682,78,1
683,77,1
684,78,1
685,77,1
686,73,4
687,73,9
688,78,1
689,78,1
690,77,1
691,78,1
692,78,1
693,78,1
694,78,1
695,77,1
696,77,1
697,77,1
698,78,1
699,77,2
700,77,7
701,77,3
702,77,1
703,77,1
704,78,1
705,77,1
706,77,2
707,78,1
708,77,2
709,78,1
710,77,1
711,78,1
712,77,1
713,78,1
714,78,1
715,77,3
716,77,6
717,77,2
718,78,1
719,77,2
720,77,1
721,78,1
722,78,1
723,78,1
724,78,1
725,78,1
726,78,1
727,78,1
728,78,1
729,77,1
730,77,1
731,78,1
732,77,1
733,78,1
734,77,1
735,78,1
736,77,1
737,77,1
738,77,1
739,77,1
740,77,1
741,77,1
742,78,1
743,78,1
744,77,1
745,78,1
746,77,1
747,77,1
748,78,1
749,77,1
750,77,1
751,78,1
752,78,1
753,78,1
754,78,1
755,78,1
756,78,1
757,78,1
758,77,1
759,77,1
760,78,1
761,77,1
763,78,1
764,78,1
765,78,1
766,78,1
767,78,1
768,78,1
769,78,1
770,78,1
771,77,1
772,78,1
773,78,1
774,78,1
775,78,1
776,78,1
777,77,1
778,78,1
779,78,1
780,78,1
781,78,1
782,78,1
783,77,2
784,49,7
785,49,8
786,49,8
787,49,6
788,49,1
789,73,1
790,49,3
791,73,9
792,73,8
793,73,2
794,73,2
795,73,6
796,73,1
797,54,1
798,54,1
799,54,1
800,54,1
801,54,1
802,49,4
803,54,2
804,49,8
805,54,2
806,49,9
807,77,1
808,77,1
809,78,1
810,77,3
811,77,1
812,77,1
813,77,1
814,77,3
815,78,1
816,77,2
817,77,1
818,77,1
819,77,2
820,77,1
821,78,1
822,77,2
823,77,1
824,77,1
825,77,3
826,77,1
827,78,1
828,77,1
829,73,8
830,75,2
831,73,5
832,49,7
833,54,1
834,49,1
835,73,9
836,73,1
837,73,3
838,54,1
839,73,10
840,77,1
841,78,1
842,76,1
843,78,1
844,78,1
845,78,1
846,78,1
847,78,1
848,78,1
849,78,1
850,77,1
851,78,1
852,78,1
853,78,1
854,77,1
855,77,1
856,78,1
857,77,1
858,78,1
859,78,1
860,77,1
861,77,1
862,78,1
863,78,1
864,78,1
865,78,1
866,77,1
867,78,1
868,78,1
869,78,1
870,77,1
871,78,1
872,77,1
873,77,1
874,78,1
875,77,1
876,78,1
877,78,1
878,77,1
879,78,1
880,78,1
881,77,1
882,78,1
883,77,1
884,77,1
885,78,1
886,77,1
887,77,2
888,77,1
889,78,1
890,78,1
891,78,1
893,77,3
894,78,1
895,77,1
896,78,1
897,78,1
898,77,1
899,78,1
901,77,1
902,77,1
903,78,1
904,78,1
905,77,2
906,78,1
908,78,1
909,78,1
910,78,1
911,78,1
912,78,1
913,78,1
914,78,1
915,78,1
916,78,1
917,78,2
918,78,1
919,77,1
920,77,1
921,78,1
922,77,1
923,77,1
